   6.0000000e+00   7.7067767e+00
   1.0000000e+01   8.6339225e+00
   2.5000000e+01   8.1140311e+00
   5.0000000e+01   7.9149436e+00
   7.5000000e+01   8.1576201e+00
   1.0000000e+02   8.5710206e+00
   1.2500000e+02   9.0170772e+00
   1.5000000e+02   9.4289667e+00
   1.7500000e+02   9.8610455e+00
   2.0000000e+02   1.0303442e+01
   2.2500000e+02   1.0753062e+01
   2.5000000e+02   1.1194142e+01
   2.7500000e+02   1.1647436e+01
   3.0000000e+02   1.2084074e+01
   3.2500000e+02   1.2560682e+01
   3.5000000e+02   1.3080890e+01
   3.7500000e+02   1.3524681e+01
   4.0000000e+02   1.4034767e+01
   4.2500000e+02   1.4510062e+01
   4.5000000e+02   1.5028536e+01
   4.7500000e+02   1.5534971e+01
   5.0000000e+02   1.6066041e+01
